NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s00827_i_n5.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00827_i_n5.wav,3,i
s00828_i.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00828_i.wav,3,i
s00828_i_n2.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00828_i_n2.wav,3,i
s00828_i_n3.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00828_i_n3.wav,3,i
s00828_i_n4.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00828_i_n4.wav,3,i
s00828_i_n5.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00828_i_n5.wav,3,i
s00829_i.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00829_i.wav,3,i
s00829_i_n2.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00829_i_n2.wav,3,i
s00829_i_n3.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00829_i_n3.wav,3,i
s00829_i_n4.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00829_i_n4.wav,3,i
s00829_i_n5.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00829_i_n5.wav,3,i
s00830_i.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00830_i.wav,3,i
s00830_i_n2.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00830_i_n2.wav,3,i
s00830_i_n3.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00830_i_n3.wav,3,i
s00830_i_n4.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00830_i_n4.wav,3,i
s00830_i_n5.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00830_i_n5.wav,3,i
s00830_i_n6.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00830_i_n6.wav,3,i
s00831_i.wav,DataSet22/DataSetTrain/DataSetPadre1/DataSetI/i/s00831_i.wav,3,i
