NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s04150_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04150_b.wav,9,b
s04201_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04201_b.wav,9,b
s04202_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04202_b.wav,9,b
s04203_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04203_b.wav,9,b
s04204_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04204_b.wav,9,b
s04205_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04205_b.wav,9,b
s04205_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04205_b_n2.wav,9,b
s04206_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04206_b.wav,9,b
s04207_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04207_b.wav,9,b
s04208_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04208_b.wav,9,b
s04209_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04209_b.wav,9,b
s04209_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04209_b_n2.wav,9,b
s04210_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04210_b.wav,9,b
s04210_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04210_b_n2.wav,9,b
s04211_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04211_b.wav,9,b
s04212_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04212_b.wav,9,b
s04212_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04212_b_n2.wav,9,b
s04212_b_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04212_b_n3.wav,9,b
s04213_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04213_b.wav,9,b
s04214_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04214_b.wav,9,b
s04214_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04214_b_n2.wav,9,b
s04215_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04215_b.wav,9,b
s04215_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04215_b_n2.wav,9,b
s04216_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04216_b.wav,9,b
s04217_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04217_b.wav,9,b
s04217_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04217_b_n2.wav,9,b
s04218_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04218_b.wav,9,b
s04218_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04218_b_n2.wav,9,b
s04219_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04219_b.wav,9,b
s04221_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04221_b.wav,9,b
s04221_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04221_b_n2.wav,9,b
s04221_b_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04221_b_n3.wav,9,b
s04223_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04223_b.wav,9,b
s04223_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04223_b_n2.wav,9,b
s04223_b_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04223_b_n3.wav,9,b
s04224_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04224_b.wav,9,b
s04227_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04227_b.wav,9,b
s04227_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04227_b_n2.wav,9,b
s04228_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04228_b.wav,9,b
s04228_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04228_b_n2.wav,9,b
s04229_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04229_b.wav,9,b
s04229_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04229_b_n2.wav,9,b
s04229_b_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04229_b_n3.wav,9,b
s04230_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04230_b.wav,9,b
s04231_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04231_b.wav,9,b
s04232_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04232_b.wav,9,b
s04234_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetB/b/s04234_b.wav,9,b
