NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s01146_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01146_b_n2.wav,9,b
s01148_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01148_b.wav,9,b
s01150_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01150_b.wav,9,b
s01201_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01201_b.wav,9,b
s01202_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01202_b.wav,9,b
s01203_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01203_b.wav,9,b
s01204_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01204_b.wav,9,b
s01205_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01205_b.wav,9,b
s01207_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01207_b.wav,9,b
s01207_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01207_b_n2.wav,9,b
s01208_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01208_b.wav,9,b
s01208_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01208_b_n2.wav,9,b
s01209_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01209_b.wav,9,b
s01209_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01209_b_n2.wav,9,b
s01210_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01210_b.wav,9,b
s01210_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01210_b_n2.wav,9,b
s01212_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01212_b.wav,9,b
s01213_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01213_b.wav,9,b
s01213_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01213_b_n2.wav,9,b
s01215_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01215_b.wav,9,b
s01217_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01217_b.wav,9,b
s01218_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01218_b.wav,9,b
s01218_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01218_b_n2.wav,9,b
s01221_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01221_b.wav,9,b
s01222_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01222_b.wav,9,b
s01224_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetL/b/s01224_b.wav,9,b
