NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s03039_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03039_m.wav,17,m
s03040_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03040_m.wav,17,m
s03041_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03041_m.wav,17,m
s03043_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03043_m.wav,17,m
s03044_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03044_m.wav,17,m
s03044_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03044_m_n2.wav,17,m
s03045_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03045_m.wav,17,m
s03045_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03045_m_n2.wav,17,m
s03045_m_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03045_m_n3.wav,17,m
s03045_m_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03045_m_n4.wav,17,m
s03045_m_n5.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03045_m_n5.wav,17,m
s03045_m_n6.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03045_m_n6.wav,17,m
s03045_m_n7.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03045_m_n7.wav,17,m
s03046_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03046_m.wav,17,m
s03046_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03046_m_n2.wav,17,m
s03047_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03047_m.wav,17,m
s03047_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03047_m_n2.wav,17,m
s03048_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03048_m.wav,17,m
s03049_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03049_m.wav,17,m
s03049_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03049_m_n2.wav,17,m
s03101_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03101_m.wav,17,m
s03102_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03102_m.wav,17,m
s03102_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03102_m_n2.wav,17,m
s03102_m_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03102_m_n3.wav,17,m
s03103_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03103_m.wav,17,m
s03104_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03104_m.wav,17,m
s03105_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03105_m.wav,17,m
s03106_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03106_m.wav,17,m
s03107_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03107_m.wav,17,m
s03108_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03108_m.wav,17,m
s03109_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03109_m.wav,17,m
s03109_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03109_m_n2.wav,17,m
s03110_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03110_m.wav,17,m
s03110_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03110_m_n2.wav,17,m
s03111_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03111_m.wav,17,m
s03112_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03112_m.wav,17,m
s03114_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03114_m.wav,17,m
s03116_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03116_m.wav,17,m
s03117_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03117_m.wav,17,m
s03117_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetM/m/s03117_m_n2.wav,17,m
