NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s01111_n~_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01111_n~_n2.wav,19,n~
s01113_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01113_n~.wav,19,n~
s01117_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01117_n~.wav,19,n~
s01124_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01124_n~.wav,19,n~
s01133_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01133_n~.wav,19,n~
s01209_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01209_n~.wav,19,n~
s01309_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01309_n~.wav,19,n~
s01321_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01321_n~.wav,19,n~
s01321_n~_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01321_n~_n2.wav,19,n~
s01334_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01334_n~.wav,19,n~
s01409_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01409_n~.wav,19,n~
s01419_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01419_n~.wav,19,n~
s01502_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01502_n~.wav,19,n~
s01509_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01509_n~.wav,19,n~
s01515_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01515_n~.wav,19,n~
s01525_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01525_n~.wav,19,n~
s01609_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01609_n~.wav,19,n~
s01616_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01616_n~.wav,19,n~
s01619_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01619_n~.wav,19,n~
s01646_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01646_n~.wav,19,n~
s01709_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01709_n~.wav,19,n~
s01710_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01710_n~.wav,19,n~
s01741_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01741_n~.wav,19,n~
s01801_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01801_n~.wav,19,n~
s01805_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01805_n~.wav,19,n~
s01809_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01809_n~.wav,19,n~
s01815_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01815_n~.wav,19,n~
s01820_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01820_n~.wav,19,n~
s01834_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01834_n~.wav,19,n~
s01838_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01838_n~.wav,19,n~
s01847_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01847_n~.wav,19,n~
s01901_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01901_n~.wav,19,n~
s01909_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01909_n~.wav,19,n~
s01920_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01920_n~.wav,19,n~
s01933_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01933_n~.wav,19,n~
s01936_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s01936_n~.wav,19,n~
s02009_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02009_n~.wav,19,n~
s02015_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02015_n~.wav,19,n~
s02020_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02020_n~.wav,19,n~
s02029_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02029_n~.wav,19,n~
s02044_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02044_n~.wav,19,n~
s02046_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02046_n~.wav,19,n~
s02109_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02109_n~.wav,19,n~
s02111_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02111_n~.wav,19,n~
s02136_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02136_n~.wav,19,n~
s02137_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02137_n~.wav,19,n~
s02202_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02202_n~.wav,19,n~
s02209_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02209_n~.wav,19,n~
s02212_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetN~/n~/s02212_n~.wav,19,n~
