NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s02144_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02144_p.wav,6,p
s02145_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02145_p.wav,6,p
s02145_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02145_p_n2.wav,6,p
s02145_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02145_p_n3.wav,6,p
s02145_p_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02145_p_n4.wav,6,p
s02146_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02146_p.wav,6,p
s02146_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02146_p_n2.wav,6,p
s02149_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02149_p.wav,6,p
s02150_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02150_p.wav,6,p
s02150_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02150_p_n2.wav,6,p
s02201_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02201_p.wav,6,p
s02201_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02201_p_n2.wav,6,p
s02202_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02202_p.wav,6,p
s02204_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02204_p.wav,6,p
s02204_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02204_p_n2.wav,6,p
s02205_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02205_p.wav,6,p
s02205_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02205_p_n2.wav,6,p
s02205_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02205_p_n3.wav,6,p
s02206_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02206_p.wav,6,p
s02206_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02206_p_n2.wav,6,p
s02207_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02207_p.wav,6,p
s02207_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02207_p_n2.wav,6,p
s02208_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02208_p.wav,6,p
s02208_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02208_p_n2.wav,6,p
s02209_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02209_p.wav,6,p
s02209_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02209_p_n2.wav,6,p
s02210_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02210_p.wav,6,p
s02212_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02212_p.wav,6,p
s02214_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02214_p.wav,6,p
s02214_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02214_p_n2.wav,6,p
s02215_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02215_p.wav,6,p
s02215_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02215_p_n2.wav,6,p
s02217_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02217_p.wav,6,p
s02218_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02218_p.wav,6,p
s02218_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02218_p_n2.wav,6,p
s02220_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02220_p.wav,6,p
s02221_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02221_p.wav,6,p
s02222_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02222_p.wav,6,p
s02223_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02223_p.wav,6,p
s02224_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02224_p.wav,6,p
s02224_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02224_p_n2.wav,6,p
s02225_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02225_p.wav,6,p
s02226_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02226_p.wav,6,p
s02227_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02227_p.wav,6,p
s02227_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02227_p_n2.wav,6,p
s02228_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02228_p.wav,6,p
s02228_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02228_p_n2.wav,6,p
s02228_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02228_p_n3.wav,6,p
s02229_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02229_p.wav,6,p
s02229_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02229_p_n2.wav,6,p
s02230_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02230_p.wav,6,p
s02230_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02230_p_n2.wav,6,p
s02232_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02232_p.wav,6,p
s02232_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02232_p_n2.wav,6,p
s02233_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02233_p.wav,6,p
s02235_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02235_p.wav,6,p
s02235_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02235_p_n2.wav,6,p
s02236_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02236_p.wav,6,p
s02236_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02236_p_n2.wav,6,p
s02236_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02236_p_n3.wav,6,p
s02238_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02238_p.wav,6,p
s02239_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02239_p.wav,6,p
s02241_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02241_p.wav,6,p
s02241_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02241_p_n2.wav,6,p
s02241_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02241_p_n3.wav,6,p
s02242_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02242_p.wav,6,p
s02243_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02243_p.wav,6,p
s02245_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02245_p.wav,6,p
s02245_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02245_p_n2.wav,6,p
s02245_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02245_p_n3.wav,6,p
s02246_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02246_p.wav,6,p
s02248_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02248_p.wav,6,p
s02249_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02249_p.wav,6,p
s02302_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02302_p.wav,6,p
s02304_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02304_p.wav,6,p
s02305_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02305_p.wav,6,p
s02305_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02305_p_n2.wav,6,p
s02305_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02305_p_n3.wav,6,p
s02306_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02306_p.wav,6,p
s02308_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02308_p.wav,6,p
s02308_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02308_p_n2.wav,6,p
s02309_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02309_p.wav,6,p
s02309_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02309_p_n2.wav,6,p
s02309_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02309_p_n3.wav,6,p
s02310_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02310_p.wav,6,p
s02310_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02310_p_n2.wav,6,p
s02311_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02311_p.wav,6,p
s02311_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02311_p_n2.wav,6,p
s02312_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02312_p.wav,6,p
s02313_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02313_p.wav,6,p
s02314_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02314_p.wav,6,p
s02314_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02314_p_n2.wav,6,p
s02314_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02314_p_n3.wav,6,p
s02315_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02315_p.wav,6,p
s02315_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02315_p_n2.wav,6,p
s02315_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02315_p_n3.wav,6,p
s02316_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02316_p.wav,6,p
s02316_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02316_p_n2.wav,6,p
s02316_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02316_p_n3.wav,6,p
s02318_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02318_p.wav,6,p
s02318_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02318_p_n2.wav,6,p
s02320_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02320_p.wav,6,p
s02320_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02320_p_n2.wav,6,p
s02321_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02321_p.wav,6,p
s02322_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02322_p.wav,6,p
s02322_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02322_p_n2.wav,6,p
s02323_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02323_p.wav,6,p
s02323_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02323_p_n2.wav,6,p
s02326_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02326_p.wav,6,p
s02327_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02327_p.wav,6,p
s02327_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02327_p_n2.wav,6,p
s02329_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02329_p.wav,6,p
s02329_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02329_p_n2.wav,6,p
s02330_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02330_p.wav,6,p
s02331_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02331_p.wav,6,p
s02331_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02331_p_n2.wav,6,p
s02332_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02332_p.wav,6,p
s02334_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02334_p.wav,6,p
s02334_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02334_p_n2.wav,6,p
s02334_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02334_p_n3.wav,6,p
s02334_p_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02334_p_n4.wav,6,p
s02335_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02335_p.wav,6,p
s02335_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02335_p_n2.wav,6,p
s02336_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02336_p.wav,6,p
s02336_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02336_p_n2.wav,6,p
s02337_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02337_p.wav,6,p
s02337_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02337_p_n2.wav,6,p
s02338_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02338_p.wav,6,p
s02339_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02339_p.wav,6,p
s02339_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02339_p_n2.wav,6,p
s02341_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02341_p.wav,6,p
s02342_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02342_p.wav,6,p
s02342_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02342_p_n2.wav,6,p
s02343_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02343_p.wav,6,p
s02344_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02344_p.wav,6,p
s02346_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02346_p.wav,6,p
s02346_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02346_p_n2.wav,6,p
s02348_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02348_p.wav,6,p
s02349_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02349_p.wav,6,p
s02401_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02401_p.wav,6,p
s02402_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02402_p.wav,6,p
s02403_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetP/p/s02403_p.wav,6,p
