NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s00540_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00540_n~.wav,19,n~
s00601_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00601_n~.wav,19,n~
s00609_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00609_n~.wav,19,n~
s00613_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00613_n~.wav,19,n~
s00620_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00620_n~.wav,19,n~
s00633_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00633_n~.wav,19,n~
s00708_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00708_n~.wav,19,n~
s00709_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00709_n~.wav,19,n~
s00809_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00809_n~.wav,19,n~
s00838_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00838_n~.wav,19,n~
s00849_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00849_n~.wav,19,n~
s00909_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00909_n~.wav,19,n~
s00947_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s00947_n~.wav,19,n~
s01009_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01009_n~.wav,19,n~
s01109_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01109_n~.wav,19,n~
s01111_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01111_n~.wav,19,n~
s01111_n~_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01111_n~_n2.wav,19,n~
s01113_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01113_n~.wav,19,n~
s01117_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01117_n~.wav,19,n~
s01124_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01124_n~.wav,19,n~
s01133_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01133_n~.wav,19,n~
s01209_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01209_n~.wav,19,n~
s01309_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01309_n~.wav,19,n~
s01321_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01321_n~.wav,19,n~
s01321_n~_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01321_n~_n2.wav,19,n~
s01334_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01334_n~.wav,19,n~
s01409_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01409_n~.wav,19,n~
s01419_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01419_n~.wav,19,n~
s01502_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01502_n~.wav,19,n~
s01509_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01509_n~.wav,19,n~
s01515_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01515_n~.wav,19,n~
s01525_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01525_n~.wav,19,n~
s01609_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/n~/s01609_n~.wav,19,n~
s00149_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00149_p.wav,6,p
s00202_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00202_p.wav,6,p
s00202_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00202_p_n2.wav,6,p
s00203_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00203_p.wav,6,p
s00204_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00204_p.wav,6,p
s00205_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00205_p.wav,6,p
s00205_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00205_p_n2.wav,6,p
s00205_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00205_p_n3.wav,6,p
s00206_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00206_p.wav,6,p
s00206_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00206_p_n2.wav,6,p
s00208_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00208_p.wav,6,p
s00208_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00208_p_n2.wav,6,p
s00209_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00209_p.wav,6,p
s00210_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00210_p.wav,6,p
s00210_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00210_p_n2.wav,6,p
s00211_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00211_p.wav,6,p
s00212_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00212_p.wav,6,p
s00213_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00213_p.wav,6,p
s00213_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00213_p_n2.wav,6,p
s00216_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00216_p.wav,6,p
s00216_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00216_p_n2.wav,6,p
s00217_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00217_p.wav,6,p
s00217_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00217_p_n2.wav,6,p
s00217_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00217_p_n3.wav,6,p
s00217_p_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00217_p_n4.wav,6,p
s00218_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00218_p.wav,6,p
s00220_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00220_p.wav,6,p
s00221_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00221_p.wav,6,p
s00226_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00226_p.wav,6,p
s00227_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00227_p.wav,6,p
s00227_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00227_p_n2.wav,6,p
s00228_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00228_p.wav,6,p
s00229_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00229_p.wav,6,p
s00230_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00230_p.wav,6,p
s00230_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00230_p_n2.wav,6,p
s00230_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00230_p_n3.wav,6,p
s00231_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00231_p.wav,6,p
s00233_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00233_p.wav,6,p
s00235_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00235_p.wav,6,p
s00236_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00236_p.wav,6,p
s00237_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00237_p.wav,6,p
s00237_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00237_p_n2.wav,6,p
s00238_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00238_p.wav,6,p
s00239_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00239_p.wav,6,p
s00240_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00240_p.wav,6,p
s00244_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00244_p.wav,6,p
s00244_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00244_p_n2.wav,6,p
s00244_p_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00244_p_n3.wav,6,p
s00244_p_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00244_p_n4.wav,6,p
s00246_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/p/s00246_p.wav,6,p
s00543_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00543_r.wav,21,r
s00543_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00543_r_n2.wav,21,r
s00545_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00545_r.wav,21,r
s00547_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00547_r.wav,21,r
s00602_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00602_r.wav,21,r
s00603_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00603_r.wav,21,r
s00603_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00603_r_n2.wav,21,r
s00604_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00604_r.wav,21,r
s00604_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00604_r_n2.wav,21,r
s00608_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00608_r.wav,21,r
s00610_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00610_r.wav,21,r
s00612_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00612_r.wav,21,r
s00615_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00615_r.wav,21,r
s00617_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00617_r.wav,21,r
s00622_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00622_r.wav,21,r
s00627_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00627_r.wav,21,r
s00631_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00631_r.wav,21,r
s00632_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00632_r.wav,21,r
s00641_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00641_r.wav,21,r
s00650_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00650_r.wav,21,r
s00650_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00650_r_n2.wav,21,r
s00650_r_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00650_r_n3.wav,21,r
s00702_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00702_r.wav,21,r
s00703_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00703_r.wav,21,r
s00703_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00703_r_n2.wav,21,r
s00704_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00704_r.wav,21,r
s00704_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00704_r_n2.wav,21,r
s00705_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00705_r.wav,21,r
s00706_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00706_r.wav,21,r
s00707_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00707_r.wav,21,r
s00708_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00708_r.wav,21,r
s00710_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00710_r.wav,21,r
s00713_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00713_r.wav,21,r
s00718_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00718_r.wav,21,r
s00724_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00724_r.wav,21,r
s00727_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00727_r.wav,21,r
s00732_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00732_r.wav,21,r
s00733_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00733_r.wav,21,r
s00734_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00734_r.wav,21,r
s00738_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00738_r.wav,21,r
s00738_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00738_r_n2.wav,21,r
s00739_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00739_r.wav,21,r
s00750_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00750_r.wav,21,r
s00802_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00802_r.wav,21,r
s00803_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00803_r.wav,21,r
s00803_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00803_r_n2.wav,21,r
s00804_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR(/r/s00804_r.wav,21,r
