NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s06104_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06104_r_n2.wav,21,r
s06108_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06108_r.wav,21,r
s06110_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06110_r.wav,21,r
s06111_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06111_r.wav,21,r
s06113_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06113_r.wav,21,r
s06116_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06116_r.wav,21,r
s06125_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06125_r.wav,21,r
s06132_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06132_r.wav,21,r
s06138_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06138_r.wav,21,r
s06140_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06140_r.wav,21,r
s06143_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06143_r.wav,21,r
s06146_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06146_r.wav,21,r
s06148_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06148_r.wav,21,r
s06150_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06150_r.wav,21,r
s06202_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06202_r.wav,21,r
s06203_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06203_r.wav,21,r
s06203_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06203_r_n2.wav,21,r
s06204_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06204_r.wav,21,r
s06204_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06204_r_n2.wav,21,r
s06205_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06205_r.wav,21,r
s06208_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06208_r.wav,21,r
s06209_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06209_r.wav,21,r
s06210_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06210_r.wav,21,r
s06215_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06215_r.wav,21,r
s06216_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06216_r.wav,21,r
s06220_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06220_r.wav,21,r
s06225_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06225_r.wav,21,r
s06226_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06226_r.wav,21,r
s06230_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06230_r.wav,21,r
s06235_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06235_r.wav,21,r
s06235_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06235_r_n2.wav,21,r
s06237_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06237_r.wav,21,r
s06238_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06238_r.wav,21,r
s06240_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06240_r.wav,21,r
s06241_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06241_r.wav,21,r
s06247_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06247_r.wav,21,r
s06247_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06247_r_n2.wav,21,r
s06302_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06302_r.wav,21,r
s06303_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06303_r.wav,21,r
s06303_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06303_r_n2.wav,21,r
s06304_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06304_r.wav,21,r
s06304_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06304_r_n2.wav,21,r
s06308_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06308_r.wav,21,r
s06309_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06309_r.wav,21,r
s06310_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06310_r.wav,21,r
s06311_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06311_r.wav,21,r
s06316_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06316_r.wav,21,r
s06318_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06318_r.wav,21,r
s06320_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06320_r.wav,21,r
s06325_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06325_r.wav,21,r
s06326_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06326_r.wav,21,r
s06327_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06327_r.wav,21,r
s06329_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06329_r.wav,21,r
s06332_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06332_r.wav,21,r
s06336_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06336_r.wav,21,r
s06337_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06337_r.wav,21,r
s06337_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06337_r_n2.wav,21,r
s06338_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06338_r.wav,21,r
s06338_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06338_r_n2.wav,21,r
s06339_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06339_r.wav,21,r
s06342_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06342_r.wav,21,r
s06343_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06343_r.wav,21,r
s06347_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06347_r.wav,21,r
s06348_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06348_r.wav,21,r
s06401_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06401_r.wav,21,r
s06402_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06402_r.wav,21,r
s06403_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06403_r.wav,21,r
s06403_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06403_r_n2.wav,21,r
s06404_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06404_r.wav,21,r
s06404_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06404_r_n2.wav,21,r
s06405_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06405_r.wav,21,r
s06408_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06408_r.wav,21,r
s06410_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06410_r.wav,21,r
s06411_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06411_r.wav,21,r
s06412_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06412_r.wav,21,r
s06414_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06414_r.wav,21,r
s06416_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06416_r.wav,21,r
s06417_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06417_r.wav,21,r
s06423_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06423_r.wav,21,r
s06423_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06423_r_n2.wav,21,r
s06428_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06428_r.wav,21,r
s06430_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06430_r.wav,21,r
s06440_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06440_r.wav,21,r
s06440_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06440_r_n2.wav,21,r
s06441_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06441_r.wav,21,r
s06443_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06443_r.wav,21,r
s06449_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06449_r.wav,21,r
s06501_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06501_r.wav,21,r
s06502_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06502_r.wav,21,r
s06503_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06503_r.wav,21,r
s06503_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06503_r_n2.wav,21,r
s06504_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetR/r/s06504_r.wav,21,r
