NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s06605_x_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06605_x_n2.wav,15,x
s06607_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06607_x.wav,15,x
s06607_x_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06607_x_n2.wav,15,x
s06612_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06612_x.wav,15,x
s06613_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06613_x.wav,15,x
s06623_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06623_x.wav,15,x
s06627_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06627_x.wav,15,x
s06628_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06628_x.wav,15,x
s06634_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06634_x.wav,15,x
s06636_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06636_x.wav,15,x
s06641_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06641_x.wav,15,x
s06644_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06644_x.wav,15,x
s06704_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06704_x.wav,15,x
s06705_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06705_x.wav,15,x
s06705_x_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06705_x_n2.wav,15,x
s06707_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06707_x.wav,15,x
s06708_x.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06708_x.wav,15,x
s06708_x_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSetX/x/s06708_x_n2.wav,15,x
