NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s01146_b_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/b/s01146_b_n2.wav,9,b
s01148_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/b/s01148_b.wav,9,b
s01150_b.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/b/s01150_b.wav,9,b
s00101_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/d/s00101_d.wav,10,d
s00101_d_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/d/s00101_d_n2.wav,10,d
s00102_d.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/d/s00102_d.wav,10,d
s01210_f.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/f/s01210_f.wav,13,f
s01211_f.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/f/s01211_f.wav,13,f
s01212_f.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/f/s01212_f.wav,13,f
s00614_g.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/g/s00614_g.wav,11,g
s00615_g.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/g/s00615_g.wav,11,g
s00616_g.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/g/s00616_g.wav,11,g
s00101_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/k/s00101_k.wav,8,k
s00101_k_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/k/s00101_k_n2.wav,8,k
s00102_k.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/k/s00102_k.wav,8,k
s00101_l.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/l/s00101_l.wav,22,l
s00101_l_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/l/s00101_l_n2.wav,22,l
s00101_l_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/l/s00101_l_n3.wav,22,l
s00112_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/m/s00112_m.wav,17,m
s00113_m.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/m/s00113_m.wav,17,m
s00113_m_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/m/s00113_m_n2.wav,17,m
s00637_n_n3.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/n/s00637_n_n3.wav,18,n
s00637_n_n4.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/n/s00637_n_n4.wav,18,n
s00638_n.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/n/s00638_n.wav,18,n
s00109_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/n~/s00109_n~.wav,19,n~
s00209_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/n~/s00209_n~.wav,19,n~
s00307_n~.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/n~/s00307_n~.wav,19,n~
s00149_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/p/s00149_p.wav,6,p
s00202_p.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/p/s00202_p.wav,6,p
s00202_p_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/p/s00202_p_n2.wav,6,p
s00543_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/r/s00543_r.wav,21,r
s00543_r_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/r/s00543_r_n2.wav,21,r
s00545_r.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/r/s00545_r.wav,21,r
s00101_r(.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/r(/s00101_r(.wav,20,r(
s00101_r(_n2.wav,DataSet22/DataSetTrain/DataSetPadre2/DataSet^Z/r(/s00101_r(_n2.wav,20,r(
