NombreArchivo,RutaArchivo,Clase_Alofono,Alofono
s02043_i_n3.wav,DataSet22/DataSetTrain/i/s02043_i_n3.wav,3,i
s02043_i_n4.wav,DataSet22/DataSetTrain/i/s02043_i_n4.wav,3,i
s02043_i_n5.wav,DataSet22/DataSetTrain/i/s02043_i_n5.wav,3,i
s02043_i_n6.wav,DataSet22/DataSetTrain/i/s02043_i_n6.wav,3,i
s02043_i_n7.wav,DataSet22/DataSetTrain/i/s02043_i_n7.wav,3,i
s02043_i_n8.wav,DataSet22/DataSetTrain/i/s02043_i_n8.wav,3,i
s02044_i.wav,DataSet22/DataSetTrain/i/s02044_i.wav,3,i
s02044_i_n2.wav,DataSet22/DataSetTrain/i/s02044_i_n2.wav,3,i
s02046_i.wav,DataSet22/DataSetTrain/i/s02046_i.wav,3,i
s02046_i_n2.wav,DataSet22/DataSetTrain/i/s02046_i_n2.wav,3,i
s02046_i_n3.wav,DataSet22/DataSetTrain/i/s02046_i_n3.wav,3,i
s02046_i_n4.wav,DataSet22/DataSetTrain/i/s02046_i_n4.wav,3,i
s02047_i.wav,DataSet22/DataSetTrain/i/s02047_i.wav,3,i
s02047_i_n2.wav,DataSet22/DataSetTrain/i/s02047_i_n2.wav,3,i
s02047_i_n3.wav,DataSet22/DataSetTrain/i/s02047_i_n3.wav,3,i
s02047_i_n4.wav,DataSet22/DataSetTrain/i/s02047_i_n4.wav,3,i
s02047_i_n5.wav,DataSet22/DataSetTrain/i/s02047_i_n5.wav,3,i
s02048_i.wav,DataSet22/DataSetTrain/i/s02048_i.wav,3,i
s02048_i_n2.wav,DataSet22/DataSetTrain/i/s02048_i_n2.wav,3,i
s02048_i_n3.wav,DataSet22/DataSetTrain/i/s02048_i_n3.wav,3,i
s02049_i.wav,DataSet22/DataSetTrain/i/s02049_i.wav,3,i
s02049_i_n2.wav,DataSet22/DataSetTrain/i/s02049_i_n2.wav,3,i
s02049_i_n3.wav,DataSet22/DataSetTrain/i/s02049_i_n3.wav,3,i
s02049_i_n4.wav,DataSet22/DataSetTrain/i/s02049_i_n4.wav,3,i
s02050_i.wav,DataSet22/DataSetTrain/i/s02050_i.wav,3,i
s02050_i_n2.wav,DataSet22/DataSetTrain/i/s02050_i_n2.wav,3,i
s02050_i_n3.wav,DataSet22/DataSetTrain/i/s02050_i_n3.wav,3,i
s02050_i_n4.wav,DataSet22/DataSetTrain/i/s02050_i_n4.wav,3,i
s02101_i.wav,DataSet22/DataSetTrain/i/s02101_i.wav,3,i
s02101_i_n2.wav,DataSet22/DataSetTrain/i/s02101_i_n2.wav,3,i
s02101_i_n3.wav,DataSet22/DataSetTrain/i/s02101_i_n3.wav,3,i
s02102_i.wav,DataSet22/DataSetTrain/i/s02102_i.wav,3,i
s02103_i.wav,DataSet22/DataSetTrain/i/s02103_i.wav,3,i
s02103_i_n2.wav,DataSet22/DataSetTrain/i/s02103_i_n2.wav,3,i
s02103_i_n3.wav,DataSet22/DataSetTrain/i/s02103_i_n3.wav,3,i
